curs;sstt;especialitat;inicials;bloc;n_interi;data_ini;especialitat_dest;codi_centre;centre;tipus_jornada;data_fi
1314;1;133;DR,A;;1410;25/07/2013;193;08062158;;1.0;31/08/2014
1314;1;133;GC,TM;;7320;25/07/2013;AN;08013159;;1.0;31/08/2014
1314;1;133;RS,JR;;7470;25/07/2013;193;08053443;;1.0;31/08/2014
1314;1;133;FE,D;;7520;25/07/2013;AL;08031873;;1.0;31/08/2014
1314;1;133;BR,MM;;17790;25/07/2013;AL;08063746;;1.0;31/08/2014
1314;1;133;IG;;25700;29/08/2013;133;;EOI -  GuinardÃ³ (Barcelona);0.5;31/08/2014
1314;1;133;VS,C;;56020;25/07/2013;SCO;08055440;;1.0;31/08/2014
1314;1;133;UMB;;80050;09/09/2013;133;;EOI -  de Barcelona (Barcelona);0.8666;30/06/2014
1314;1;133;MRLA;;88060;14/02/2014;AN;;Institut -  Jaume Balmes (Barcelona);0.8666;28/02/2014
1314;1;133;;;88060;;dif;;;;
1314;1;133;;;106400;;;;;;
1314;1;133;MAMP;;124600;17/09/2013;133;;EOI -  VallÃ¨s Oriental (Granollers);0.4266;30/06/2014
1314;1;133;LMB;;126020;09/09/2013;133;;EOI -  Barcelona III (Barcelona);0.4266;30/06/2014
1314;1;133;;;138200;;;;;;
1314;1;133;JPP;;183580;09/09/2013;133;;EOI -  Barcelona IV (Barcelona);0.33;30/06/2014
1314;1;133;JVC;;197840;13/09/2013;133;;EOI -  Barcelona III (Barcelona);0.7066;30/09/2013
1314;1;133;;;206870;;;;;;
1314;1;133;TPS;;210770;07/01/2014;133;;EOI -  de Barcelona (Barcelona);0.8666;17/01/2014
1314;1;133;;;213770;;;;;;
1314;1;133;;;218660;;;;;;
1314;1;133;;;418130;;;;;;
1314;1;133;;;431260;;;;;;
1314;1;133;;;439810;;;;;;
1314;1;133;;;441320;;;;;;
1314;1;133;;;601050;;;;;;
1314;2;133;RSS;;109570;09/09/2013;133;;EOI -  Badalona (Badalona);0.4266;30/06/2014
1314;2;133;;;168510;;;;;;
1314;2;133;IH;;186980;26/11/2013;133;;EOI -  de L'Hospitalet de LLobregat (L'Hospitalet de Llobregat);0.8666;20/12/2013
1314;2;133;;;201490;;;;;;
1314;2;133;;;203110;;;;;;
1314;2;133;;;206280;;;;;;
1314;2;133;;;220400;;;;;;
1314;2;133;;;221230;;;;;;
1314;2;133;;;300660;;;;;;
1314;2;133;;;465600;;;;;;
1314;2;133;;;467620;;;;;;
1314;3;133;MJ,A;;36080;25/07/2013;FR;08045859;;1.0;31/08/2014
1314;3;133;GF,MD;;41730;25/07/2013;AN;08034011;;1.0;31/08/2014
1314;3;133;BC,A;;89100;25/07/2013;FR;08034011;;1.0;31/08/2014
1314;3;133;MGEA;;98340;30/08/2013;AL;;Institut -  Miramar (Viladecans);1.0;31/08/2014
1314;3;133;SCE;;139650;10/09/2013;AL;;Institut -  Marianao (Sant Boi de Llobregat);0.8666;30/06/2014
1314;3;133;;;175090;;dif;;;;
1314;3;133;SLE;;206110;30/08/2013;133;;EOI -  de Martorell (Martorell);0.5;31/08/2014
1314;3;133;TRM;;218260;11/10/2013;133;;EOI -  del Maresme (MatarÃ³);0.4266;21/10/2013
1314;3;133;TRM;;218260;10/12/2013;193;;EOI -  de CornellÃ  de Llobregat (CornellÃ  de Llobregat);0.4266;31/01/2014
1314;3;133;TRM;;218260;04/02/2014;193;;EOI -  del Prat de Llobregat (El Prat de Llobregat);0.5;28/02/2014
1314;3;133;TRM;;218260;18/03/2014;AN;;Institut -  Torre Roja (Viladecans);0.8666;28/03/2014
1314;4;133;;;7780;;;;;;
1314;4;133;AC,N;;30680;25/07/2013;AL;08053091;;1.0;31/08/2014
1314;4;133;;;95670;;dif;;;;
1314;4;133;MMLM;;124100;10/09/2013;133;;EOI -  de Terrassa (Terrassa);0.4266;30/06/2014
1314;4;133;CFG;;155840;10/09/2013;133;;EOI -  de Sabadell (Sabadell);0.33;13/06/2014
1314;4;133;;;158590;;;;;;
1314;4;133;;;222500;;;;;;
1314;5;133;MTFA;;49090;29/08/2013;AL;;Sec. d'Institut -  Domus d'Olivet (Canovelles);0.5;31/08/2014
1314;5;133;AMG;;122500;17/09/2013;133;;EOI -  del Maresme (MatarÃ³);0.5;31/08/2014
