SSTT;especialitat;Inicials;Bloc;n_interi;data_ini;tipus_jornada;i_especialitat;centre;data_fi
1;133;DR,A;1;77;17/07;1;193;EOI Barcelona-Vall d'Hebron;31/08
1;133;FE,D;1;562;17/07;1;133;EOI Santa Coloma;31/08
1;133;G,I;1;2.556;17/07;0,5;133;EOI Barcelona IV;31/08
1;133;LA,MR;1;10.013;17/07;1;133;EOI de Martorell;31/08
1;133;MP,MA;1;10.453;17/07;1;AN;Institut Arnau Cadell;31/08
1;133;MB,L;1;12.481;17/07;1;133;EOI de Viladecans;31/08
1;133;GG,M;1;14.737;17/07;1;AL;Institut La Pineda;31/08
1;133;VC,J;1;16.030;17/07;1;AN;Institut de Castellar;31/08
1;133;MODL,I;1;16.567;17/07;1;AL;Institut Icària;31/08
1;133;VG,E;1;19.312;17/07;0,5;AL;Institut Ausiàs March;31/08
1;133;PS,T;1;22.075;17/07;0,5;133;EOI Guinardó;31/08
1;133;PP,J;1;23.341;;;;;
1;133;SS,M (*);1;25.299;;;;;
1;133;B,A;1;25.347;17/07;0,5;133;EOI d'Olot;31/08
1;133;BSJ,H;1;36.238;;;;;
1;133;TY,E;1;36.304;;;;;
1;133;LL,S (*);1;36.353;;;;;
1;133;BG,A (*);2;47.955;;;;;
1;133;SJ,M;2;53.935;14/09;0,50;133;EOI Barcelona III;31/08
1;133;PC,M;2;71.340;17/09;;133;EOI de Manresa;07/12
1;133;GQ,G;2;73.165;06/11;;133;EOI Martorell;21/12
1;133;EO,D;2;73.538;03/10;;133;EOI Vallès Oriental;30/06
2;133;AS,MI;1;2.309;17/07;1;AN;Institut Ernest Lluch i Martí;31/08
2;133;AG,JM;1;12.889;17/07;1;193;EOI de L'Hospitalet de LLobregat;31/08
2;133;RM,AP;1;16.599;17/07;1;133;EOI Vallès Oriental;31/08
2;133;GS,A;1;18.153;17/07;1;AL;Institut Rubió i Ors;31/08
2;133;BM,B;1;19.690;17/07;1;AL;Institut Xaloc;31/08
2;133;PG,MD;1;23.265;13/09;;133;EOI Blanes;30/06
2;133;HB,A;1;31.670;;;;;
2;133;MM,S;1;34.713;15/02;1;AL;Institut La Pineda;28/02
2;133;VA,LA (*);2;51.568;13/11;1;133;EOI de L'Hospitalet de LLobregat;26/11
3;133;TG,AI;1;2.345;17/07;1;133;EOI de Martorell;31/08
3;133;GF,MD;1;3.529;17/07;1;AN;Institut Frederic Mompou;31/08
3;133;VS,C;1;4.721;17/07;1;133;EOI del Prat de Llobregat;31/08
3;133;BC,A;1;7.271;17/07;1;FR;Institut Frederic Mompou;31/08
3;133;EA,MG;1;7.979;17/07;1;133;EOI de Cornellà de Llobregat;31/08
3;133;CE,S;1;8.244;17/07;1;AL;Institut Joan Miró;31/08
3;133;LE,S;1;15.571;17/07;1;AN;Institut Josefina Castellví i Piulachs;31/08
3;133;MR,AM;1;16.704;17/07;1;133;EOI de Manresa;31/08
3;133;RM,T;1;17.565;17/07;1;AN;Institut Daniel Blanxart i Pedrals;31/08
3;133;RC,E;1;18.609;17/07;1;133;EOI de Viladecans;31/08
3;133;AH,Y (*);1;24.109;;;;;
3;133;P,K;1;24.394;17/07;0,5;133;EOI de Martorell;31/08
3;133;AB,D;1;26.577;17/07;0,5;193;EOI de Viladecans;31/08
3;133;AB,D;1;26.577;18/09;;133;EOI de Cornellà;30/06
3;133;CC,MB;1;30.621;12/09;0,50;133;EOI de Martorell;30/06
3;133;CC,MB;1;30.621;26/09;;133;EOI del Prat de Llobregat;30/06
3;133;CV,M;1;30.870;17/07;1;AL;Institut Giola;31/08
3;133;MV,L;2;70.813;10/09;;MU;Institut El Castell;31/08
